09:28:15.590 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:36:22.642 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:36:51.147 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:37:15.889 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:37:46.607 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:38:21.048 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:39:02.906 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:39:38.936 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:40:08.814 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:40:32.678 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:41:00.172 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:41:31.665 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:42:00.391 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:42:28.803 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:44:53.161 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:45:19.580 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:45:41.659 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:46:13.526 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:46:36.963 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:47:01.270 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:47:27.611 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:47:53.419 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:48:21.202 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:48:49.452 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:49:16.741 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:49:45.333 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:50:11.453 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:50:43.933 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:51:13.453 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
13:51:37.086 INFO  - 資料查詢日期驗證成功，開始資料搜尋，Service_Mode = '0'，, queryDate = '2020-10-22'
